quantity,productName,Sales_Channel_Effort,Pressure_Index,Temperature_Condition
25,Part_Nu_12,"Fair","Normal","High"
15,System_Iota_8,"Fair","Normal","High"
7,Piece_Theta_7,"Fair","Normal","Medium"
19,Component_Kappa_9,"Fair","Strong","High"
23,Unit_Eta_6,"Excellent","Normal","High"
11,System_Iota_8,"Fair","Normal","Low"
12,Component_Kappa_9,"Fair","Normal","High"
4,Gear_Mu_11,"Fair","Weak","Medium"
10,Element_Xi_13,"Fair","Strong","Medium"
9,Tool_Epsilon_4,"Fair","Weak","High"
14,Device_Delta_3,"Fair","Normal","High"
8,Component_Kappa_9,"Fair","Normal","Low"
14,Module_Lambda_10,"Fair","Normal","Medium"
10,Module_Lambda_10,"Fair","Normal","Medium"
24,Gadget_Beta_1,"Fair","Strong","Very_High"
9,Component_Kappa_9,"Fair","Normal","Medium"
14,Apparatus_Gamma_2,"Fair","Weak","Medium"
18,Module_Lambda_10,"Fair","Normal","Very_High"
12,Module_Lambda_10,"Fair","Normal","Medium"
10,Apparatus_Gamma_2,"Fair","Weak","Medium"
9,Device_Delta_3,"Fair","Normal","Low"
10,Engine_Rho_16,"Fair","Normal","Medium"
7,Apparatus_Gamma_2,"Fair","Normal","Low"
25,Item_Zeta_5,"Fair","Normal","Very_High"
1,Gear_Mu_11,"Fair","Weak","Low"
13,Apparatus_Gamma_2,"Fair","Strong","Medium"
19,System_Iota_8,"Excellent","Weak","High"
5,Piece_Theta_7,"Fair","Weak","Medium"
7,Piece_Theta_7,"Fair","Strong","High"
2,Module_Lambda_10,"Fair","Weak","Low"
9,Apparatus_Gamma_2,"Fair","Strong","Low"
15,Engine_Rho_16,"Fair","Normal","Low"
14,Assembly_Omicron_14,"Poor","Strong","Medium"
5,Component_Kappa_9,"Fair","Weak","Very_Low"
22,Part_Nu_12,"Fair","Strong","Very_High"
1,Widget_Alpha_0,"Fair","Weak","Low"
22,Tool_Epsilon_4,"Fair","Normal","High"
13,Module_Lambda_10,"Fair","Normal","High"
18,Assembly_Omicron_14,"Poor","Strong","Medium"
15,Module_Lambda_10,"Fair","Normal","High"
3,Piece_Theta_7,"Fair","Strong","Very_Low"
10,Module_Lambda_10,"Fair","Strong","Medium"
2,Device_Delta_3,"Fair","Normal","Low"
18,Part_Nu_12,"Fair","Strong","High"
20,System_Iota_8,"Fair","Strong","High"
6,Part_Nu_12,"Fair","Normal","Low"
12,Component_Kappa_9,"Fair","Strong","Medium"
18,Assembly_Omicron_14,"Fair","Strong","Medium"
13,System_Iota_8,"Fair","Weak","High"
6,System_Iota_8,"Fair","Weak","Medium"
7,Module_Lambda_10,"Fair","Normal","Low"
1,System_Iota_8,"Fair","Weak","Very_Low"
3,Machine_Pi_15,"Excellent","Weak","Low"
14,Module_Lambda_10,"Fair","Weak","High"
8,Component_Kappa_9,"Fair","Weak","Low"
16,Unit_Eta_6,"Fair","Strong","High"
6,Tool_Epsilon_4,"Fair","Weak","Low"
8,Device_Delta_3,"Fair","Weak","Medium"
24,Engine_Rho_16,"Fair","Strong","Low"
25,Gadget_Beta_1,"Poor","Strong","Very_High"
8,Element_Xi_13,"Fair","Normal","Low"
4,Device_Delta_3,"Fair","Normal","Very_Low"
22,Device_Delta_3,"Fair","Weak","High"
14,Machine_Pi_15,"Fair","Weak","High"
4,Component_Kappa_9,"Fair","Normal","Low"
8,Tool_Epsilon_4,"Fair","Strong","Medium"
21,Component_Kappa_9,"Fair","Strong","Medium"
10,Part_Nu_12,"Fair","Weak","High"
1,Widget_Alpha_0,"Excellent","Weak","Very_Low"
14,Tool_Epsilon_4,"Fair","Normal","High"
25,Item_Zeta_5,"Fair","Normal","High"
1,Part_Nu_12,"Fair","Weak","Very_Low"
15,Item_Zeta_5,"Fair","Strong","High"
4,Component_Kappa_9,"Fair","Normal","Low"
6,Widget_Alpha_0,"Fair","Weak","High"
8,Tool_Epsilon_4,"Fair","Normal","Medium"
16,Device_Delta_3,"Fair","Strong","High"
2,Part_Nu_12,"Fair","Normal","Low"
5,Part_Nu_12,"Fair","Weak","Low"
1,Unit_Eta_6,"Fair","Weak","Very_Low"
16,Unit_Eta_6,"Fair","Normal","Medium"
20,Unit_Eta_6,"Fair","Strong","High"
18,Element_Xi_13,"Fair","Normal","Medium"
23,Gadget_Beta_1,"Fair","Weak","High"
22,Gadget_Beta_1,"Fair","Strong","High"
14,Component_Kappa_9,"Fair","Strong","Medium"
5,Device_Delta_3,"Fair","Normal","Medium"
13,Tool_Epsilon_4,"Fair","Strong","Medium"
13,System_Iota_8,"Fair","Weak","Very_High"
10,Item_Zeta_5,"Fair","Weak","Medium"
6,Piece_Theta_7,"Fair","Strong","Low"
17,Module_Lambda_10,"Fair","Normal","High"
12,System_Iota_8,"Poor","Strong","High"
11,Part_Nu_12,"Fair","Weak","Medium"
4,System_Iota_8,"Fair","Weak","Low"
12,Tool_Epsilon_4,"Fair","Weak","High"
5,Gear_Mu_11,"Fair","Normal","Low"
23,Piece_Theta_7,"Poor","Strong","High"
10,Item_Zeta_5,"Fair","Weak","High"
1,Engine_Rho_16,"Fair","Normal","Very_Low"
