quantity,productName,Sales_Channel_Effort,Pressure_Index,Temperature_Condition
11,Machine_Pi_15,"Fair","Normal","Medium"
6,Widget_Alpha_0,"Excellent","Normal","Low"
14,Tool_Epsilon_4,"Fair","Normal","Medium"
10,Apparatus_Gamma_2,"Fair","Normal","High"
8,Component_Kappa_9,"Fair","Weak","Medium"
19,Element_Xi_13,"Fair","Normal","Very_High"
8,System_Iota_8,"Fair","Normal","Medium"
18,System_Iota_8,"Fair","Weak","Medium"
7,Part_Nu_12,"Fair","Weak","Medium"
4,Piece_Theta_7,"Excellent","Weak","Medium"
15,Engine_Rho_16,"Fair","Strong","Medium"
17,Apparatus_Gamma_2,"Poor","Normal","Very_High"
8,Engine_Rho_16,"Fair","Normal","Low"
16,Unit_Eta_6,"Excellent","Weak","High"
11,Gear_Mu_11,"Fair","Strong","Medium"
20,Item_Zeta_5,"Fair","Normal","High"
5,Gadget_Beta_1,"Fair","Weak","Medium"
16,Piece_Theta_7,"Fair","Strong","Low"
23,Element_Xi_13,"Fair","Strong","High"
13,Assembly_Omicron_14,"Fair","Strong","Medium"
14,Assembly_Omicron_14,"Fair","Normal","Low"
21,Gear_Mu_11,"Poor","Normal","Very_High"
23,Unit_Eta_6,"Fair","Normal","High"
14,Gear_Mu_11,"Fair","Strong","Low"
18,Gear_Mu_11,"Fair","Normal","High"
8,Gear_Mu_11,"Fair","Normal","Low"
8,Machine_Pi_15,"Fair","Normal","Low"
10,Gadget_Beta_1,"Fair","Normal","Medium"
15,Assembly_Omicron_14,"Fair","Normal","Low"
6,Piece_Theta_7,"Fair","Strong","Low"
16,Device_Delta_3,"Fair","Strong","Medium"
8,Unit_Eta_6,"Fair","Strong","Medium"
25,Piece_Theta_7,"Fair","Strong","Very_High"
4,Component_Kappa_9,"Fair","Normal","Medium"
20,Unit_Eta_6,"Fair","Normal","Very_High"
1,Piece_Theta_7,"Fair","Weak","Low"
16,System_Iota_8,"Fair","Normal","Very_High"
1,Assembly_Omicron_14,"Excellent","Weak","Very_Low"
8,Component_Kappa_9,"Fair","Strong","Medium"
13,Tool_Epsilon_4,"Fair","Strong","High"
25,Apparatus_Gamma_2,"Poor","Strong","Very_High"
4,Gadget_Beta_1,"Fair","Normal","Medium"
13,Gear_Mu_11,"Fair","Weak","Low"
21,Unit_Eta_6,"Fair","Strong","High"
4,Gear_Mu_11,"Fair","Normal","Low"
20,Machine_Pi_15,"Fair","Strong","Medium"
11,Element_Xi_13,"Fair","Normal","Medium"
1,Item_Zeta_5,"Excellent","Weak","Very_Low"
20,Gadget_Beta_1,"Fair","Normal","Very_High"
6,System_Iota_8,"Excellent","Normal","Medium"
11,Piece_Theta_7,"Fair","Normal","High"
17,Element_Xi_13,"Poor","Strong","High"
7,Tool_Epsilon_4,"Fair","Weak","Medium"
9,Gadget_Beta_1,"Fair","Strong","Low"
8,Gear_Mu_11,"Fair","Weak","Medium"
10,Gadget_Beta_1,"Fair","Weak","Medium"
23,Item_Zeta_5,"Poor","Strong","Very_High"
17,Piece_Theta_7,"Fair","Weak","High"
16,Module_Lambda_10,"Fair","Weak","High"
3,System_Iota_8,"Fair","Weak","Low"
14,Device_Delta_3,"Fair","Normal","Medium"
18,Gadget_Beta_1,"Fair","Normal","Very_High"
20,Module_Lambda_10,"Fair","Normal","High"
4,Module_Lambda_10,"Fair","Weak","Medium"
6,Device_Delta_3,"Fair","Strong","Medium"
13,Assembly_Omicron_14,"Fair","Strong","Medium"
15,Component_Kappa_9,"Fair","Strong","High"
9,Module_Lambda_10,"Fair","Normal","Medium"
22,Part_Nu_12,"Fair","Strong","Medium"
13,Device_Delta_3,"Poor","Normal","High"
2,Piece_Theta_7,"Fair","Strong","Low"
4,Device_Delta_3,"Fair","Weak","Low"
6,Item_Zeta_5,"Fair","Weak","Medium"
25,Element_Xi_13,"Poor","Strong","Very_High"
15,Machine_Pi_15,"Fair","Strong","Medium"
1,Gear_Mu_11,"Fair","Normal","Very_Low"
14,Unit_Eta_6,"Fair","Normal","Medium"
17,Machine_Pi_15,"Fair","Normal","High"
1,Gear_Mu_11,"Fair","Weak","Low"
8,Assembly_Omicron_14,"Fair","Normal","Medium"
24,Gadget_Beta_1,"Poor","Strong","Very_High"
11,Item_Zeta_5,"Fair","Weak","Medium"
5,Unit_Eta_6,"Fair","Weak","Medium"
13,Machine_Pi_15,"Fair","Weak","Medium"
13,Element_Xi_13,"Fair","Normal","High"
10,Widget_Alpha_0,"Fair","Normal","Medium"
6,Item_Zeta_5,"Fair","Weak","Medium"
6,Assembly_Omicron_14,"Excellent","Weak","Low"
3,Tool_Epsilon_4,"Fair","Normal","Very_Low"
3,Tool_Epsilon_4,"Fair","Weak","Medium"
18,Device_Delta_3,"Poor","Strong","High"
13,Gear_Mu_11,"Fair","Normal","High"
12,Apparatus_Gamma_2,"Fair","Normal","Medium"
17,Component_Kappa_9,"Fair","Normal","Medium"
17,Tool_Epsilon_4,"Fair","Normal","High"
15,Machine_Pi_15,"Fair","Normal","Very_High"
1,Piece_Theta_7,"Fair","Weak","Low"
1,Element_Xi_13,"Fair","Normal","Very_Low"
4,Item_Zeta_5,"Excellent","Normal","Very_Low"
6,Widget_Alpha_0,"Fair","Normal","Low"
